2025,16548,-936,-4164,86,109,-61,0.05
2066,16708,-908,-3908,78,112,-43,0.05
2107,16548,-1068,-4088,157,77,61,0.06
2147,16588,-1024,-4256,204,74,154,0.06
2189,16528,-1076,-3848,228,-4,161,0.06
2230,16540,-980,-4256,410,-21,121,0.06
2272,16576,-1300,-4084,19,81,111,0.08
2313,16688,-1284,-4200,-22,105,-42,0.07
2355,16412,-1096,-4240,99,70,-108,0.06
2397,16432,-1080,-4236,3,94,-152,0.06
2438,16520,-1180,-4168,-30,96,-180,0.07
2480,16576,-1084,-4164,-94,89,-86,0.06
2522,16504,-1116,-4284,-75,111,-79,0.07
2564,16408,-984,-4108,37,87,-67,0.06
2604,16580,-1076,-4256,4,95,-75,0.06
2643,16528,-1248,-4228,-77,121,-123,0.07
2686,16536,-1152,-4176,-50,154,-77,0.07
2729,16548,-1136,-4188,-89,132,-109,0.07
2774,16620,-1116,-4152,-185,158,-127,0.07
2818,16560,-1048,-4184,-155,158,-176,0.06
2863,16640,-1064,-4072,-23,171,-228,0.06
2907,16636,-1032,-4156,-123,189,-183,0.06
2951,16616,-1020,-4012,-18,135,-123,0.06
2995,16488,-1080,-4088,9,127,-59,0.06
3035,16468,-1056,-4188,-6,143,-67,0.06
3077,16484,-1132,-4068,-59,128,-110,0.07
3121,16616,-1136,-4112,-48,203,-108,0.07
3164,16596,-1008,-4028,-60,181,-90,0.06
3207,16420,-1096,-4032,-30,150,-84,0.06
3250,16504,-892,-4120,78,170,-62,0.05
3290,16544,-1080,-3996,-125,177,-9,0.06
3333,16524,-1236,-3932,28,194,-82,0.07
3375,16548,-1020,-4160,151,92,-75,0.06
3416,16488,-1016,-4040,-56,120,-37,0.06
3459,16612,-1068,-4012,-129,183,-46,0.06
3503,16616,-1240,-4088,84,134,-64,0.07
3544,16604,-1112,-4064,-94,179,-91,0.06
3587,16640,-1052,-3948,-35,191,-144,0.06
3630,16552,-904,-4124,17,180,-62,0.05
3671,16564,-1204,-4120,-56,222,-50,0.07
3714,16572,-1280,-3960,-50,204,-173,0.07
3757,16540,-868,-4092,-54,192,-97,0.05
3799,16568,-1012,-3860,-106,203,-78,0.06
3843,16640,-1196,-3932,17,179,-78,0.07
3884,16504,-1132,-4004,15,195,-104,0.07
3927,16580,-1216,-4016,-1,214,-144,0.07
3970,16600,-1072,-3888,-107,229,-83,0.06
4013,16620,-1168,-3980,-66,207,-105,0.07
4057,16488,-840,-3820,-135,225,-52,0.05
4099,16632,-1376,-3492,566,146,-56,0.08
4142,16536,-1308,-3948,1445,61,-81,0.08
4185,16600,-904,-4576,1040,338,83,0.05
4226,16668,-1264,-3968,503,558,206,0.07
4269,16608,-1188,-3932,329,743,134,0.07
4312,16684,-1252,-3928,-131,943,71,0.07
4354,16588,-1300,-3812,-214,1091,5,0.08
4397,16556,-1024,-4112,-549,1292,-14,0.06
4442,16728,-1380,-3536,-918,1477,-145,0.08
4487,16600,-1428,-3776,-1312,1706,-560,0.08
4534,16848,-1876,-3612,-1792,2042,-1572,0.11
4582,16632,-2600,-3688,-3180,2502,-3334,0.15
4629,17412,-3884,-3320,-4083,2899,-6473,0.22
4677,19316,-1688,-3548,-2902,2429,-9501,0.09
4725,21488,-628,-4924,-7281,3164,-9764,0.03
4772,17164,-3232,-3360,-3228,2745,-9197,0.18
4819,12680,-3768,-2564,3446,2389,-5989,0.28
4867,11084,-5868,-2268,6249,-1377,3972,0.48
4914,14224,-4456,-3260,11252,-4274,11651,0.30
4962,17136,-1752,-3492,6496,-3123,17764,0.10
5010,18556,-312,-3608,5001,-3408,20119,0.02
5057,19496,-1392,-3648,6618,-3730,18207,0.07
5105,19048,1052,-3896,6054,-3083,13104,-0.05
5152,17224,888,-3416,3557,-2068,5404,-0.05
5198,16388,-136,-2460,4067,-1910,-1371,0.01
5245,16212,812,-3244,4707,-1750,-4495,-0.05
5292,17404,580,-5940,1083,-1981,-7037,-0.03
5339,16728,-5572,436,1545,84,-3016,0.32
5382,18384,-6492,-3084,7464,-3506,-10752,0.34
5430,15240,372,-7852,1571,-3392,-9313,-0.02
5477,17580,-2304,-1312,-958,-2287,-8416,0.13
5525,16456,376,-3536,4187,-4026,-8295,-0.02
5572,16336,-432,-6524,-1000,-2673,-5988,0.02
5619,16304,156,-5836,-1703,-1810,-4782,-0.01
5667,16448,1424,-5504,-1918,-1388,-4165,-0.08
5716,15808,-80,-6080,-2034,-1064,-3749,0.00
5763,16216,436,-5556,-2728,-989,-4202,-0.03
