1729,-15900,-980,-5568,-967,1071,-5073
1739,-15572,-372,-6908,-1373,652,-4740
1750,-15040,80,-5064,-1537,716,-4615
1760,-15112,-124,-4728,-1298,941,-4878
1770,-15288,-100,-4988,-1523,1177,-4924
1780,-15440,-224,-5332,-1555,1307,-4780
1792,-15304,-912,-5208,-1308,1458,-4762
1802,-15532,-2184,-5060,-883,1503,-4655
1812,-15404,-2512,-5412,319,1420,-4659
1823,-15388,-2080,-6068,1682,1399,-4566
1833,-15328,-264,-5584,2300,1296,-4551
1844,-14880,956,-5772,2121,1414,-4858
1854,-14904,1064,-6412,1316,1381,-5183
1864,-15300,4,-7252,845,1274,-5592
1873,-15600,-912,-6828,808,1095,-5726
1884,-15588,-2128,-6032,1402,977,-5856
1894,-15820,-1924,-5300,2230,912,-6009
1904,-15972,-880,-5296,2693,1015,-6162
1915,-16356,-644,-6568,2859,699,-6406
1926,-16312,284,-6132,2493,689,-6801
1935,-16032,-760,-6164,2066,532,-7331
1945,-16268,-1324,-5576,2345,381,-7797
1955,-16396,-1052,-5804,2906,269,-8344
1966,-16528,-692,-5664,3060,143,-8724
1976,-16752,-548,-5320,2781,61,-9224
1986,-16876,-1204,-4900,2315,-25,-9648
1996,-17000,-3068,-4540,2399,-35,-9969
2007,-16936,-4136,-4400,2860,-70,-10051
2018,-16984,-3440,-4744,3575,-132,-10194
2028,-17244,-1940,-5284,3807,-82,-10476
2039,-17064,-2220,-5296,3841,-82,-10955
2050,-17020,-1412,-5252,3468,-287,-11541
2061,-16520,-2548,-5880,3471,-208,-12200
2071,-16116,-4552,-4496,3629,-302,-12424
2082,-15312,-5196,-4540,3787,-317,-12259
2094,-13996,-7324,-4332,3495,-180,-11943
2104,-14268,-7804,-3476,4219,-135,-11540
2115,-13984,-7480,-4068,4783,60,-11289
2125,-14804,-6344,-4468,5551,139,-11141
2137,-15000,-3992,-4236,6135,258,-10916
2147,-13576,-8224,-4368,4794,514,-10621
2158,-13044,-10948,-3512,5837,610,-10229
2168,-12456,-10792,-4264,7414,824,-9433
2180,-13904,-9864,-5312,8326,831,-8645
2190,-15656,-8456,-5972,9161,708,-8106
2200,-17752,-6656,-6904,10070,507,-7689
2210,-19708,-4812,-6884,11226,241,-7513
2222,-20732,-2692,-6624,12304,52,-7624
2232,-20920,-1628,-7240,13069,-336,-7914
2243,-21676,-36,-7332,13490,-842,-8345
2253,-21084,1148,-7764,13164,-1026,-8952
2264,-19808,-456,-7164,10808,-1155,-9614
2275,-18252,-3468,-7104,8985,-1129,-10546
2286,-17500,-5496,-7004,7536,-1151,-11471
2297,-17680,-7496,-6864,7448,-1234,-11669
